index,Lever position,Ship speed (v),Gas Turbine (GT) shaft torque (GTT) (kN m),GT rate of revolutions (GTn) (rpm),Gas Generator rate of revolutions (GGn) (rpm),Starboard Propeller Torque (Ts) (kN),Port Propeller Torque (Tp) (kN),Hight Pressure (HP) Turbine exit temperature (T48) (C),GT Compressor inlet air temperature (T1) (C),GT Compressor outlet air temperature (T2) (C),HP Turbine exit pressure (P48) (bar),GT Compressor inlet air pressure (P1) (bar),GT Compressor outlet air pressure (P2) (bar),GT exhaust gas pressure (Pexh) (bar),Turbine Injecton Control (TIC) (%),Fuel flow (mf) (kg/s),GT Compressor decay state coefficient,GT Turbine decay state coefficient
1676,3.144,9,8378.771,1386.755,7105.968,60.353,60.353,599.418,288,585.431,1.389,0.998,7.548,1.02,12.83,0.254,0.957,0.979
3947,6.175,18,29794.933,2307.293,8833.611,246.244,246.244,767.802,288,667.603,2.5,0.998,13.087,1.03,33.763,0.668,0.966,0.997
7618,5.14,15,21628.732,1924.327,8476.817,175.282,175.282,700.921,288,635.16,2.085,0.998,11.086,1.026,24.823,0.491,0.982,0.989
4444,8.206,24,50993.825,3087.509,9317.637,437.948,437.948,914.109,288,731.969,3.569,0.998,18.175,1.042,59.322,1.174,0.968,1.0
5722,8.206,24,50994.462,3087.514,9308.556,438.091,438.091,924.398,288,732.275,3.585,0.998,18.482,1.041,60.423,1.196,0.974,0.986
10108,2.088,6,6148.799,1391.497,6756.197,30.995,30.995,584.141,288,569.13,1.316,0.998,7.133,1.02,0.0,0.229,0.993,0.98
2369,3.144,9,8378.264,1386.753,7096.518,60.343,60.343,598.852,288,584.919,1.39,0.998,7.556,1.02,12.813,0.254,0.96,0.978
4967,9.3,27,72763.989,3560.403,9757.852,644.995,644.995,1087.037,288,780.706,4.518,0.998,22.811,1.05,90.377,1.789,0.971,0.98
2217,4.161,12,14723.969,1547.467,7795.836,113.794,113.794,646.573,288,609.907,1.657,0.998,8.907,1.022,17.431,0.345,0.959,0.987
8148,4.161,12,14720.519,1547.459,7756.965,113.764,113.764,627.543,288,603.08,1.66,0.998,8.85,1.023,16.601,0.329,0.984,0.996
3326,6.175,18,29790.007,2307.501,8818.288,246.213,246.213,787.348,288,671.818,2.505,0.998,13.314,1.03,35.032,0.694,0.964,0.98
8875,2.088,6,6912.748,1368.733,6801.822,26.783,26.783,598.534,288,569.95,1.329,0.998,7.113,1.02,13.016,0.263,0.987,0.999
3583,2.088,6,3151.719,1351.083,6798.789,23.502,23.502,522.089,288,561.652,1.207,0.998,6.526,1.019,17.743,0.161,0.965,0.983
11661,7.148,21,39005.314,2678.04,9119.361,332.423,332.423,800.982,288,681.344,2.984,0.998,15.483,1.036,42.454,0.841,0.999,0.996
11723,6.175,18,29760.56,2306.817,8776.993,246.009,246.009,772.194,288,663.899,2.52,0.998,13.419,1.031,34.325,0.68,1.0,0.977
3619,2.088,6,2884.929,1358.377,6813.481,24.807,24.807,507.965,288,559.909,1.199,0.998,6.453,1.019,13.218,0.142,0.965,0.987
6217,8.206,24,50994.172,3087.505,9308.696,437.965,437.965,919.925,288,731.163,3.584,0.998,18.428,1.042,60.053,1.189,0.976,0.989
2468,3.144,9,8379.387,1386.759,7124.815,60.356,60.356,589.915,288,583.29,1.388,0.998,7.476,1.02,12.441,0.246,0.96,0.989
8277,7.148,21,39001.295,2678.044,9119.902,332.329,332.329,821.909,288,687.516,2.982,0.998,15.64,1.036,43.9,0.869,0.985,0.984
10091,3.144,9,8374.158,1386.722,7023.264,60.294,60.294,584.013,288,577.841,1.393,0.998,7.572,1.02,12.262,0.243,0.993,0.978
5973,7.148,21,38992.043,2678.073,9126.686,332.307,332.307,824.394,288,689.872,2.973,0.998,15.539,1.036,43.928,0.87,0.975,0.988
3667,5.14,15,21634.578,1924.336,8495.679,175.325,175.325,706.87,288,638.784,2.078,0.998,11.026,1.026,25.06,0.496,0.965,0.992
5158,2.088,6,2915.236,1355.823,6768.537,24.343,24.343,514.885,288,560.217,1.2,0.998,6.526,1.019,14.839,0.149,0.972,0.976
7594,8.206,24,50994.01,3087.49,9304.134,437.994,437.994,919.067,288,729.794,3.591,0.998,18.512,1.042,60.11,1.19,0.982,0.986
6976,2.088,6,5709.996,1393.287,6827.148,31.339,31.339,565.321,288,568.193,1.3,0.998,6.95,1.02,0.0,0.208,0.979,0.996
3423,4.161,12,14723.421,1547.467,7792.319,113.783,113.783,640.796,288,608.172,1.657,0.998,8.876,1.022,17.172,0.34,0.964,0.991
8199,1.138,3,3407.046,1389.195,6636.874,9.803,9.803,545.363,288,560.235,1.22,0.998,6.639,1.019,4.678,0.18,0.985,0.976
2409,7.148,21,38984.92,2678.075,9130.949,332.12,332.12,840.61,288,695.553,2.966,0.998,15.591,1.035,44.95,0.89,0.96,0.982
3212,9.3,27,72777.066,3560.424,9777.473,644.947,644.947,1084.73,288,781.737,4.492,0.998,22.407,1.05,89.637,1.774,0.963,0.993
5366,3.144,9,8378.907,1386.756,7122.98,60.351,60.351,576.643,288,579.241,1.389,0.998,7.41,1.02,11.909,0.236,0.972,0.999
10973,3.144,9,8375.929,1386.739,7066.929,60.315,60.315,567.066,288,574.361,1.391,0.998,7.429,1.021,11.549,0.229,0.996,0.998
6593,6.175,18,29761.218,2306.773,8801.492,246.009,246.009,781.046,288,668.598,2.51,0.998,13.349,1.03,34.724,0.687,0.978,0.979
2895,7.148,21,38985.387,2678.076,9130.981,332.21,332.21,837.183,288,694.582,2.966,0.998,15.564,1.035,44.715,0.885,0.962,0.984
10434,4.161,12,14718.453,1547.45,7723.181,113.745,113.745,628.246,288,601.918,1.663,0.998,8.913,1.023,16.672,0.33,0.994,0.99
10986,7.148,21,39001.375,2678.061,9122.251,332.345,332.345,799.935,288,681.732,2.98,0.998,15.424,1.036,42.32,0.838,0.996,0.999
3642,7.148,21,38985.215,2678.078,9132.041,332.228,332.228,830.046,288,692.796,2.965,0.998,15.489,1.035,44.204,0.875,0.965,0.989
8812,2.088,6,6466.3,1388.046,6796.467,30.363,30.363,586.672,288,569.811,1.322,0.998,7.106,1.02,1.93,0.238,0.987,0.992
10008,1.138,3,3049.977,1408.798,6678.891,10.862,10.862,514.357,288,554.756,1.21,0.998,6.463,1.019,0.0,0.147,0.992,0.995
11560,5.14,15,21622.33,1924.319,8457.602,175.188,175.188,696.134,288,631.821,2.091,0.998,11.156,1.027,24.648,0.488,0.999,0.985
10688,6.175,18,29762.595,2306.79,8797.212,245.957,245.957,758.304,288,661.724,2.512,0.998,13.205,1.031,33.363,0.661,0.995,0.992
11821,5.14,15,21622.936,1924.322,8459.364,175.24,175.24,692.799,288,631.053,2.091,0.998,11.124,1.027,24.459,0.484,1.0,0.988
5451,7.148,21,38993.442,2678.067,9124.618,332.267,332.267,831.846,288,691.507,2.975,0.998,15.634,1.035,44.485,0.881,0.973,0.982
7160,6.175,18,29767.041,2306.977,8810.82,245.957,245.957,767.966,288,665.692,2.507,0.998,13.203,1.03,33.88,0.671,0.98,0.99
7866,1.138,3,7016.835,1359.686,6658.958,8.054,8.054,642.156,288,571.738,1.324,0.998,7.154,1.019,12.605,0.308,0.983,0.991
2743,8.206,24,50994.595,3087.538,9318.714,438.0,438.0,926.006,288,735.292,3.569,0.998,18.291,1.041,60.266,1.193,0.961,0.993
4958,9.3,27,72763.867,3560.39,9757.012,644.735,644.735,1087.935,288,780.859,4.519,0.998,22.838,1.05,90.485,1.791,0.971,0.979
6474,4.161,12,14721.254,1547.46,7764.709,113.769,113.769,634.053,288,605.2,1.66,0.998,8.879,1.023,16.893,0.334,0.977,0.992
7888,5.14,15,21629.021,1924.333,8479.47,175.277,175.277,696.633,288,634.209,2.084,0.998,11.042,1.027,24.579,0.487,0.983,0.993
492,7.148,21,38982.581,2678.086,9132.416,332.112,332.112,851.283,288,698.961,2.963,0.998,15.651,1.035,45.646,0.904,0.952,0.977
1116,1.138,3,287.329,1335.362,6710.091,6.756,6.756,456.425,288,546.903,1.094,0.998,5.841,1.019,12.815,0.084,0.954,0.995
5637,4.161,12,14720.613,1547.452,7741.835,113.76,113.76,648.499,288,608.248,1.662,0.998,9.012,1.022,17.582,0.348,0.974,0.977
10471,5.14,15,21625.767,1924.332,8470.166,175.234,175.234,690.162,288,631.408,2.087,0.998,11.048,1.027,24.268,0.48,0.994,0.994
11778,7.148,21,39014.536,2677.963,9112.398,332.556,332.556,813.324,288,683.24,2.992,0.998,15.707,1.036,43.463,0.861,1.0,0.983
8855,9.3,27,72774.292,3560.407,9753.571,644.796,644.796,1055.58,288,772.682,4.519,0.998,22.485,1.051,87.46,1.731,0.987,0.996
10265,6.175,18,29762.849,2306.748,8804.358,246.007,246.007,753.985,288,661.11,2.51,0.998,13.134,1.031,33.057,0.654,0.993,0.997
6589,2.088,6,3079.288,1376.079,6776.119,28.04,28.04,506.403,288,559.634,1.21,0.998,6.555,1.02,3.871,0.132,0.978,0.979
10812,4.161,12,14717.276,1547.443,7699.501,113.729,113.729,635.998,288,603.092,1.666,0.998,9.005,1.023,17.058,0.338,0.996,0.98
7557,7.148,21,39000.039,2678.048,9120.314,332.406,332.406,825.909,288,688.763,2.981,0.998,15.664,1.036,44.167,0.874,0.982,0.982
9552,4.161,12,14719.486,1547.456,7743.665,113.756,113.756,624.909,288,601.814,1.661,0.998,8.856,1.023,16.494,0.327,0.99,0.996
5241,4.161,12,14721.587,1547.459,7762.103,113.771,113.771,642.359,288,607.389,1.66,0.998,8.937,1.022,17.278,0.342,0.972,0.985
11022,7.148,21,39016.191,2677.937,9110.766,332.537,332.537,821.374,288,685.156,2.994,0.998,15.8,1.036,44.058,0.872,0.997,0.977
2783,3.144,9,8380.211,1386.764,7145.709,60.368,60.368,582.306,288,581.751,1.387,0.998,7.412,1.02,12.125,0.24,0.961,0.998
11412,1.138,3,1540.438,1370.9,6640.317,8.594,8.594,471.163,288,545.684,1.149,0.998,6.129,1.019,2.83,0.1,0.998,0.995
1696,5.14,15,21635.185,1924.32,8493.417,175.271,175.271,721.747,288,642.765,2.079,0.998,11.138,1.026,25.864,0.512,0.957,0.981
5685,7.148,21,38994.193,2678.063,9124.136,332.277,332.277,831.182,288,691.199,2.975,0.998,15.638,1.035,44.449,0.88,0.974,0.982
2295,1.138,3,634.449,1324.079,6694.596,6.123,6.123,472.094,288,548.029,1.107,0.998,5.921,1.019,19.935,0.108,0.959,0.996
5939,9.3,27,72767.574,3560.399,9756.682,644.87,644.87,1079.03,288,778.681,4.518,0.998,22.728,1.05,89.636,1.774,0.975,0.984
7763,6.175,18,29761.447,2306.818,8796.321,246.0,246.0,778.496,288,667.414,2.512,0.998,13.359,1.03,34.599,0.685,0.983,0.979
3313,2.088,6,3939.099,1344.877,6787.205,22.421,22.421,551.412,288,565.893,1.232,0.998,6.7,1.019,22.366,0.197,0.964,0.979
4781,3.144,9,8377.866,1386.75,7094.284,60.338,60.338,587.805,288,581.561,1.39,0.998,7.503,1.02,12.374,0.245,0.97,0.986
8350,8.206,24,50993.605,3087.478,9305.004,438.084,438.084,910.844,288,727.888,3.588,0.998,18.4,1.042,59.41,1.176,0.985,0.992
9575,9.3,27,72775.691,3560.402,9752.005,645.126,645.126,1050.673,288,771.343,4.52,0.998,22.452,1.051,87.027,1.723,0.99,0.998
7605,1.138,3,2343.737,1404.228,6679.05,10.632,10.632,502.074,288,554.242,1.184,0.998,6.355,1.019,0.0,0.129,0.982,0.988
215,9.3,27,72781.391,3560.72,9795.778,644.884,644.884,1095.609,288,785.988,4.47,0.998,22.192,1.049,90.159,1.785,0.95,0.998
6707,3.144,9,8377.511,1386.748,7091.573,60.341,60.341,579.486,288,578.978,1.39,0.998,7.463,1.02,12.041,0.238,0.978,0.992
9836,9.3,27,72755.278,3560.352,9729.084,644.974,644.974,1068.536,288,774.255,4.55,0.998,23.087,1.051,89.295,1.768,0.992,0.975
10891,2.088,6,6833.424,1363.671,6754.465,25.841,25.841,602.513,288,569.128,1.327,0.998,7.164,1.02,15.534,0.267,0.996,0.989
3483,1.138,3,855.205,1321.339,6687.01,5.954,5.954,478.02,288,547.898,1.115,0.998,5.954,1.019,21.942,0.118,0.964,0.998
7006,5.14,15,21631.403,1924.344,8488.637,175.257,175.257,693.068,288,634.121,2.081,0.998,10.97,1.027,24.346,0.482,0.979,0.999
5102,9.3,27,72777.314,3560.417,9770.227,644.816,644.816,1073.993,288,778.533,4.5,0.998,22.407,1.05,88.801,1.758,0.971,0.995
6599,3.144,9,8376.284,1386.741,7061.111,60.325,60.325,589.044,288,580.722,1.391,0.998,7.55,1.02,12.443,0.246,0.978,0.98
3764,3.144,9,8377.502,1386.748,7080.332,60.34,60.34,596.914,288,583.753,1.39,0.998,7.567,1.02,12.745,0.252,0.966,0.977
6410,3.144,9,8376.95,1386.745,7076.022,60.327,60.327,585.477,288,580.207,1.391,0.998,7.513,1.02,12.291,0.243,0.977,0.985
11794,5.14,15,21622.244,1924.318,8456.703,175.236,175.236,695.636,288,631.586,2.091,0.998,11.158,1.027,24.625,0.487,1.0,0.985
25,8.206,24,50997.566,3087.601,9319.306,438.134,438.134,950.027,288,741.441,3.574,0.998,18.589,1.041,62.245,1.232,0.95,0.977
7659,1.138,3,838.553,1367.288,6667.072,8.431,8.431,454.23,288,544.851,1.12,0.998,5.973,1.019,0.0,0.076,0.982,0.994
11577,4.161,12,14717.4,1547.445,7706.552,113.732,113.732,628.632,288,601.351,1.665,0.998,8.945,1.023,16.709,0.331,0.999,0.987
11210,6.175,18,29762.944,2306.743,8801.325,245.944,245.944,750.964,288,659.969,2.511,0.998,13.129,1.031,32.887,0.651,0.997,0.998
